Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,HN020_contigs,USMM068_contigs
group_851,,Endonuclease/exonuclease/phosphatase domain-containing protein,1,1,1,3,308,,,,1113,1113,1113,,GAHHJF_10005
group_850,,DUF465 domain-containing protein,1,1,1,3,307,,,,261,261,261,BKCABM_09860,
group_849,asd,aspartate-semialdehyde dehydrogenase,1,1,1,3,306,,,,1119,1119,1119,,GAHHJF_10010
asd,asd,aspartate-semialdehyde dehydrogenase,1,1,1,3,305,,,,1119,1119,1119,BKCABM_09465,
group_848,,ASCH domain-containing protein,1,1,1,3,304,,,,267,267,267,,GAHHJF_09945
group_847,fimV,FimV domain-containing protein,1,1,1,3,303,,,,1122,1122,1122,,GAHHJF_10015
group_846,rpsO,30S ribosomal protein S15,1,1,1,3,302,,,,270,270,270,,GAHHJF_10305
group_845,ubiJ,Ubiquinone biosynthesis accessory factor UbiJ,1,1,1,3,301,,,,666,666,666,,GAHHJF_10380
group_844,,HAD hydrolase family IA,1,1,1,3,300,,,,666,666,666,,GAHHJF_10125
rpsO,rpsO,30S ribosomal protein S15,1,1,1,3,299,,,,270,270,270,BKCABM_09875,
cdiI,cdiI,CdiI immunity protein domain-containing protein,1,1,1,3,298,,,,273,273,273,BKCABM_10180,
group_843,,monovalent cation/H+ antiporter subunit F,1,1,1,3,297,,,,276,276,276,,GAHHJF_10425
group_842,,HAD family hydrolase,1,1,1,3,296,,,,669,669,669,BKCABM_09630,
group_841,,monovalent cation/H+ antiporter subunit F,1,1,1,3,295,,,,276,276,276,BKCABM_09980,
pspC,pspC,DNA-binding transcriptional activator PspC,1,1,1,3,294,,,,276,276,276,BKCABM_09670,
group_840,,TIGR00341 family protein,1,1,1,3,293,,,,1137,1137,1137,BKCABM_09585,
group_839,,DUF1345 domain-containing protein,1,1,1,3,292,,,,675,675,675,,GAHHJF_10110
group_838,,DUF1345 domain-containing protein,1,1,1,3,291,,,,678,678,678,BKCABM_09625,
group_837,,Selenocysteine synthase,1,1,1,3,290,,,,1152,1152,1152,BKCABM_10220,
group_836,,Glycerate kinase,1,1,1,3,289,,,,1155,1155,1155,BKCABM_09400,
hemW,hemW,radical SAM family heme chaperone HemW,1,1,1,3,288,,,,1158,1158,1158,,GAHHJF_10160
group_835,metC,cystathionine beta-lyase,1,1,1,3,287,,,,1164,1164,1164,,GAHHJF_10200
group_834,,Dithiol-disulfide isomerase,1,1,1,3,286,,,,690,690,690,BKCABM_10195,
ubiJ,ubiJ,Ubiquinone biosynthesis accessory factor UbiJ,1,1,1,3,285,,,,690,690,690,BKCABM_09920,
group_833,,DSBA-like thioredoxin domain-containing protein,1,1,1,3,284,,,,693,693,693,,GAHHJF_10610
group_832,fadA,acetyl-CoA C-acyltransferase FadA,1,1,1,3,283,,,,1173,1173,1173,,GAHHJF_10595
group_831,,HTH deoR-type domain-containing protein,1,1,1,3,282,,,,696,696,696,,GAHHJF_10120
fadA,fadA,acetyl-CoA C-acyltransferase FadA,1,1,1,3,281,,,,1173,1173,1173,BKCABM_10160,
group_830,,Lipoprotein,1,1,1,3,280,,,,699,699,699,BKCABM_10175,
group_829,,Selenocysteine synthase,1,1,1,3,279,,,,1182,1182,1182,,GAHHJF_10620
group_828,ecsC,EcsC family protein,1,1,1,3,278,,,,705,705,705,,GAHHJF_10370
group_827,,Pili assembly chaperone N-terminal domain-containing protein,1,1,1,3,277,,,,705,705,705,,GAHHJF_10355
group_826,ecsC,EcsC family protein,1,1,1,3,276,,,,705,705,705,BKCABM_09910,
group_825,ppnP,Pyrimidine/purine nucleoside phosphorylase,1,1,1,3,275,,,,324,324,324,BKCABM_10075,
ppnP,ppnP,Pyrimidine/purine nucleoside phosphorylase,1,1,1,3,274,,,,327,327,327,,GAHHJF_10510
group_824,secG,preprotein translocase subunit SecG,1,1,1,3,273,,,,330,330,330,,GAHHJF_10470
group_823,gspF,type II secretion system inner membrane protein GspF,1,1,1,3,272,,,,1206,1206,1206,,GAHHJF_10260
group_822,,TIGR03862 family flavoprotein,1,1,1,3,271,,,,1206,1206,1206,,GAHHJF_10215
group_821,gspF,type II secretion system inner membrane protein GspF,1,1,1,3,270,,,,1206,1206,1206,BKCABM_09825,
secG,secG,preprotein translocase subunit SecG,1,1,1,3,269,,,,330,330,330,BKCABM_10035,
group_820,,Type 1 fimbrial protein,1,1,1,3,268,,,,333,333,333,,GAHHJF_10345
hopJ,hopJ,HopJ type III effector protein,1,1,1,3,267,,,,333,333,333,,GAHHJF_10195
group_819,,Transporter,1,1,1,3,266,,,,336,336,336,BKCABM_09815,
group_818,,TIGR03862 family flavoprotein,1,1,1,3,265,,,,1212,1212,1212,BKCABM_09740,
csaA,csaA,tRNA-binding protein,1,1,1,3,264,,,,339,339,339,BKCABM_09810,
corA,corA,Magnesium and cobalt transporter CorA,1,1,1,3,263,,,,1224,1224,1224,,GAHHJF_10295
group_817,,hypothetical protein,1,1,1,3,262,,,,345,345,345,,GAHHJF_10250
group_816,lprI,Lysozyme inhibitor LprI N-terminal domain-containing protein,1,1,1,3,261,,,,345,345,345,BKCABM_10230,
group_815,,DUF2185 domain-containing protein,1,1,1,3,260,,,,345,345,345,BKCABM_10140,
group_814,gspF,Type II secretion system protein GspF domain-containing protein,1,1,1,3,259,,,,1227,1227,1227,,GAHHJF_10485
group_813,,DUF1311 domain-containing protein,1,1,1,3,258,,,,351,351,351,,GAHHJF_10635
gspF,gspF,Type II secretion system protein GspF domain-containing protein,1,1,1,3,257,,,,1227,1227,1227,BKCABM_10050,
group_812,,Lipoprotein,1,1,1,3,256,,,,351,351,351,BKCABM_09450,
merR,merR,MerR family transcriptional regulator,1,1,1,3,255,,,,354,354,354,,GAHHJF_10285
group_811,,DNA transfer protein p32,1,1,1,3,254,,,,357,357,357,,GAHHJF_10660
group_810,,YMGG-like Gly-zipper domain-containing protein,1,1,1,3,253,,,,357,357,357,BKCABM_10255,
group_809,,Magnesium Mg(2+)/cobalt Co(2+) transport protein,1,1,1,3,252,,,,1236,1236,1236,BKCABM_09865,
cbpM,cbpM,Chaperone-modulator protein CbpM,1,1,1,3,251,,,,357,357,357,BKCABM_09855,
group_808,rlmB,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,1,1,1,3,250,,,,747,747,747,,GAHHJF_10505
group_807,,Acyl-CoA dehydrogenase C-terminal domain-containing protein,1,1,1,3,249,,,,1248,1248,1248,,GAHHJF_10175
group_806,,Lipase chaperone,1,1,1,3,248,,,,750,750,750,BKCABM_10185,
rlmB,rlmB,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,1,1,1,3,247,,,,750,750,750,BKCABM_10070,
group_805,,Na+/H+ antiporter subunit C,1,1,1,3,246,,,,366,366,366,BKCABM_09965,
group_804,sfnB,SfnB family sulfur acquisition oxidoreductase,1,1,1,3,245,,,,1257,1257,1257,,GAHHJF_10180
group_803,,Na+/H+ antiporter subunit C,1,1,1,3,244,,,,369,369,369,,GAHHJF_10410
group_802,,hypothetical protein,1,1,1,3,243,,,,759,759,759,BKCABM_09415,
group_801,,hypothetical protein,1,1,1,3,242,,,,765,765,765,,GAHHJF_10605
group_800,tonB,TonB C-terminal domain-containing protein,1,1,1,3,241,,,,768,768,768,BKCABM_09345,
crcB,crcB,fluoride efflux transporter CrcB,1,1,1,3,240,,,,381,381,381,,GAHHJF_10290
group_799,,3-hydroxybenzoate 6-hydroxylase,1,1,1,3,239,,,,1287,1287,1287,BKCABM_09940,
group_798,,HTH iclR-type domain-containing protein,1,1,1,3,238,,,,771,771,771,BKCABM_10110,
group_797,hisIE,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,1,1,1,3,237,,,,774,774,774,,GAHHJF_10390
group_796,,Alpha/beta hydrolase,1,1,1,3,236,,,,1293,1293,1293,BKCABM_09720,
group_795,,DUF1311 domain-containing protein,1,1,1,3,235,,,,387,387,387,,GAHHJF_10040
group_794,,Transcriptional regulator,1,1,1,3,234,,,,777,777,777,,GAHHJF_10550
group_793,,Beta-lactamase-related domain-containing protein,1,1,1,3,233,,,,1299,1299,1299,,GAHHJF_10310
group_792,,ABC1 atypical kinase-like domain-containing protein,1,1,1,3,232,,,,1299,1299,1299,,GAHHJF_10185
gltP,gltP,glutamate/aspartate:proton symporter GltP,1,1,1,3,231,,,,1299,1299,1299,,GAHHJF_10000
group_791,,Beta-lactamase-related domain-containing protein,1,1,1,3,230,,,,1299,1299,1299,BKCABM_09880,
group_790,,Signal peptide-containing protein,1,1,1,3,229,,,,390,390,390,BKCABM_09695,
group_789,,Lipoprotein,1,1,1,3,228,,,,390,390,390,BKCABM_09500,
group_788,,hypothetical protein,1,1,1,3,227,,,,1305,1305,1305,,GAHHJF_10515
group_787,,Methyltransferase type 11 domain-containing protein,1,1,1,3,226,,,,780,780,780,BKCABM_09725,
group_786,fimV,Fimbrial protein FimV,1,1,1,3,225,,,,1305,1305,1305,BKCABM_09475,
group_785,tonB,TonB C-terminal domain-containing protein,1,1,1,3,224,,,,783,783,783,,GAHHJF_09900
hisIE,hisIE,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,1,1,1,3,223,,,,783,783,783,BKCABM_09945,
group_784,,Na+/H+ antiporter subunit G,1,1,1,3,222,,,,399,399,399,BKCABM_09985,
group_783,rbfA,ribosome-binding factor A,1,1,1,3,221,,,,402,402,402,,GAHHJF_10435
group_782,,Na+/H+ antiporter subunit G,1,1,1,3,220,,,,405,405,405,,GAHHJF_10430
rbfA,rbfA,ribosome-binding factor A,1,1,1,3,219,,,,405,405,405,BKCABM_09990,
group_781,,Acyl-CoA thioesterase II,1,1,1,3,218,,,,792,792,792,,GAHHJF_10570
group_780,tpiA,triose-phosphate isomerase,1,1,1,3,217,,,,792,792,792,BKCABM_10040,
group_779,,DUF304 domain-containing protein,1,1,1,3,216,,,,408,408,408,BKCABM_10145,
group_778,,Acyl-CoA thioesterase II,1,1,1,3,215,,,,795,795,795,BKCABM_10130,
group_777,,Putative glutathione-dependent formaldehyde-activating enzyme,1,1,1,3,214,,,,411,411,411,BKCABM_09735,
group_776,,CENP-V/GFA domain-containing protein,1,1,1,3,213,,,,414,414,414,,GAHHJF_10210
tpiA,tpiA,triose-phosphate isomerase,1,1,1,3,212,,,,798,798,798,,GAHHJF_10475
group_775,,Major facilitator superfamily (MFS) profile domain-containing protein,1,1,1,3,211,,,,1341,1341,1341,,GAHHJF_10335
aroE,aroE,shikimate dehydrogenase,1,1,1,3,210,,,,801,801,801,,GAHHJF_10230
group_774,,MATE efflux family protein,1,1,1,3,209,,,,1350,1350,1350,,GAHHJF_10170
group_773,,Lipoprotein,1,1,1,3,207,,,,429,429,429,BKCABM_09510,
drt2,drt2,antiviral reverse transcriptase Drt2,1,1,1,3,206,,,,1365,1365,1365,BKCABM_10165,
group_772,,Rad50/SbcC-type AAA domain-containing protein,1,1,1,3,205,,,,1365,1365,1365,BKCABM_09955,
fimV,fimV,FimV domain-containing protein,1,1,1,3,204,,,,1368,1368,1368,BKCABM_09470,
group_771,,Rad50/SbcC-type AAA domain-containing protein,1,1,1,3,203,,,,1371,1371,1371,,GAHHJF_10400
group_770,gspG,type II secretion system major pseudopilin GspG,1,1,1,3,202,,,,438,438,438,BKCABM_09820,
group_769,ruvX,Holliday junction resolvase RuvX,1,1,1,3,201,,,,444,444,444,,GAHHJF_10530
ruvX,ruvX,Holliday junction resolvase RuvX,1,1,1,3,200,,,,444,444,444,BKCABM_10090,
group_768,,Lipoprotein,1,1,1,3,199,,,,837,837,837,BKCABM_09690,
group_767,,Nudix hydrolase domain-containing protein,1,1,1,3,198,,,,447,447,447,BKCABM_09420,
group_766,,CBS domain-containing protein,1,1,1,3,197,,,,840,840,840,,GAHHJF_10240
group_765,,Permease,1,1,1,3,196,,,,1413,1413,1413,BKCABM_10240,
group_764,,CBS domain-containing protein,1,1,1,3,195,,,,840,840,840,BKCABM_09800,
group_763,,Lipid A biosynthesis acyltransferase,1,1,1,3,194,,,,843,843,843,,GAHHJF_09990
group_762,,Ammonium transporter AmtB-like domain-containing protein,1,1,1,3,193,,,,450,450,450,,GAHHJF_09970
group_761,,Ammonium transporter,1,1,1,3,192,,,,450,450,450,BKCABM_09430,
group_760,leuC,3-isopropylmalate dehydratase large subunit,1,1,1,3,191,,,,1419,1419,1419,,GAHHJF_10060
group_759,,Carboxymuconolactone decarboxylase-like domain-containing protein,1,1,1,3,190,,,,450,450,450,BKCABM_09405,
yuiF,yuiF,putative histidine transporter YuiF NhaC family,1,1,1,3,189,,,,1422,1422,1422,,GAHHJF_10645
group_758,,Polyphosphate kinase-2-related domain-containing protein,1,1,1,3,188,,,,1425,1425,1425,,GAHHJF_10340
group_757,,HTH araC/xylS-type domain-containing protein,1,1,1,3,187,,,,849,849,849,,GAHHJF_10560
pap,pap,Polyphosphate:AMP phosphotransferase,1,1,1,3,186,,,,1428,1428,1428,BKCABM_09905,
group_756,,DUF2147 domain-containing protein,1,1,1,3,185,,,,453,453,453,BKCABM_09845,
group_755,,HTH asnC-type domain-containing protein,1,1,1,3,184,,,,453,453,453,BKCABM_09580,
leuC,leuC,Homoaconitase/3-isopropylmalate dehydratase large subunit,1,1,1,3,183,,,,1434,1434,1434,BKCABM_09530,
group_754,,DUF306 domain-containing protein,1,1,1,3,182,,,,459,459,459,BKCABM_09325,
group_753,,DMT family transporter,1,1,1,3,181,,,,462,462,462,,GAHHJF_10165
cmpR,cmpR,HTH-type transcriptional activator CmpR,1,1,1,3,180,,,,858,858,858,BKCABM_09540,
group_752,,Prepilin leader peptidase/N-methyltransferase,1,1,1,3,179,,,,861,861,861,,GAHHJF_10490
group_751,,Prepilin leader peptidase/N-methyltransferase,1,1,1,3,178,,,,861,861,861,BKCABM_10055,
group_750,,Alpha/beta hydrolase,1,1,1,3,177,,,,864,864,864,BKCABM_10245,
tehB,tehB,SAM-dependent methyltransferase TehB,1,1,1,3,176,,,,867,867,867,BKCABM_10170,
group_749,,Selenocysteine synthase,1,1,1,3,175,,,,870,870,870,,GAHHJF_10625
murI,murI,glutamate racemase,1,1,1,3,174,,,,870,870,870,BKCABM_09775,
group_748,,Lrp/AsnC family transcriptional regulator,1,1,1,3,173,,,,471,471,471,,GAHHJF_10205
group_747,,HTH lysR-type domain-containing protein,1,1,1,3,172,,,,873,873,873,,GAHHJF_10070
group_746,nusA,Transcription antitermination factor NusA contains S1 and KH domains,1,1,1,3,171,,,,1485,1485,1485,,GAHHJF_10445
group_745,hslO,Hsp33 family molecular chaperone HslO,1,1,1,3,170,,,,876,876,876,,GAHHJF_10275
nusA,nusA,Transcription antitermination factor NusA contains S1 and KH domains,1,1,1,3,169,,,,1485,1485,1485,BKCABM_10000,
hslO,hslO,Hsp33 family molecular chaperone HslO,1,1,1,3,168,,,,876,876,876,BKCABM_09840,
group_744,recB,3’-5’ helicase subunit RecB of the DNA repair enzyme RecBCD (exonuclease V),1,1,1,3,167,,,,1503,1503,1503,,GAHHJF_10395
group_743,,DNA 3'-5' helicase,1,1,1,3,166,,,,1503,1503,1503,BKCABM_09950,
group_742,rppH,RNA pyrophosphohydrolase,1,1,1,3,165,,,,483,483,483,BKCABM_09560,
group_741,,AB hydrolase-1 domain-containing protein,1,1,1,3,164,,,,888,888,888,,GAHHJF_10650
group_740,,DUF4442 domain-containing protein,1,1,1,3,163,,,,486,486,486,,GAHHJF_10655
group_739,,DUF4442 domain-containing protein,1,1,1,3,162,,,,486,486,486,BKCABM_10250,
group_738,,DUF306 domain-containing protein,1,1,1,3,161,,,,489,489,489,,GAHHJF_09880
group_737,lnt,apolipoprotein N-acyltransferase,1,1,1,3,160,,,,1560,1560,1560,BKCABM_09805,
lnt,lnt,apolipoprotein N-acyltransferase,1,1,1,3,159,,,,1563,1563,1563,,GAHHJF_10245
group_736,hcaR,DNA-binding transcriptional regulator HcaR,1,1,1,3,158,,,,900,900,900,BKCABM_09620,
rppH,rppH,RNA pyrophosphohydrolase,1,1,1,3,157,,,,501,501,501,,GAHHJF_10085
group_735,,2-octaprenylphenol hydroxylase,1,1,1,3,156,,,,1620,1620,1620,,GAHHJF_10385
group_734,,ABC1 atypical kinase-like domain-containing protein,1,1,1,3,155,,,,1620,1620,1620,BKCABM_09925,
group_733,,DUF697 domain-containing protein,1,1,1,3,154,,,,504,504,504,,GAHHJF_10330
group_732,,DUF2628 domain-containing protein,1,1,1,3,153,,,,507,507,507,BKCABM_09545,
group_731,,hypothetical protein,1,1,1,3,152,,,,510,510,510,BKCABM_09600,
group_730,lpxO,lipid A hydroxylase LpxO,1,1,1,3,151,,,,915,915,915,,GAHHJF_10585
group_729,,acyl-CoA dehydrogenase family protein,1,1,1,3,150,,,,1653,1653,1653,BKCABM_09590,
hcaR,hcaR,DNA-binding transcriptional regulator HcaR,1,1,1,3,149,,,,915,915,915,,GAHHJF_10105
lpxO,lpxO,lipid A hydroxylase LpxO,1,1,1,3,148,,,,915,915,915,BKCABM_10150,
group_728,recN,DNA repair protein RecN,1,1,1,3,147,,,,1662,1662,1662,,GAHHJF_10520
recN,recN,DNA repair protein RecN,1,1,1,3,146,,,,1662,1662,1662,BKCABM_10080,
group_727,eamA,EamA domain-containing protein,1,1,1,3,145,,,,918,918,918,BKCABM_10065,
group_726,,Peptide signal,1,1,1,3,144,,,,516,516,516,BKCABM_10190,
gspG,gspG,type II secretion system major pseudopilin GspG,1,1,1,3,143,,,,522,522,522,,GAHHJF_10255
group_725,,Na+/H+ antiporter subunit E,1,1,1,3,142,,,,522,522,522,BKCABM_09975,
group_724,,Signal peptide protein YSIRK family,1,1,1,3,141,,,,522,522,522,BKCABM_09700,
group_723,rimP,ribosome maturation factor RimP,1,1,1,3,140,,,,525,525,525,,GAHHJF_10450
rimP,rimP,ribosome maturation factor RimP,1,1,1,3,139,,,,525,525,525,BKCABM_10005,
group_722,pilB,type IV-A pilus assembly ATPase PilB,1,1,1,3,138,,,,1713,1713,1713,BKCABM_10045,
group_721,,Electron transfer flavoprotein-ubiquinone oxidoreductase,1,1,1,3,137,,,,1713,1713,1713,BKCABM_09785,
pilB,pilB,type IV-A pilus assembly ATPase PilB,1,1,1,3,136,,,,1716,1716,1716,,GAHHJF_10480
group_720,,Na+/H+ antiporter subunit E,1,1,1,3,135,,,,528,528,528,,GAHHJF_10420
group_719,eamA,EamA domain-containing protein,1,1,1,3,134,,,,930,930,930,,GAHHJF_10500
group_718,,Secreted protein,1,1,1,3,133,,,,528,528,528,BKCABM_09790,
group_717,,Pseudouridine synthase,1,1,1,3,131,,,,933,933,933,,GAHHJF_10130
group_716,,Fimbrial-type adhesion domain-containing protein,1,1,1,3,130,,,,537,537,537,,GAHHJF_10350
group_715,recD,exodeoxyribonuclease V subunit alpha,1,1,1,3,129,,,,1785,1785,1785,BKCABM_09885,
recD,recD,exodeoxyribonuclease V subunit alpha,1,1,1,3,128,,,,1800,1800,1800,,GAHHJF_10315
group_714,uvrC,excinuclease ABC subunit UvrC,1,1,1,3,127,,,,1800,1800,1800,BKCABM_10135,
group_713,,ABC transporter ATP-binding protein,1,1,1,3,126,,,,1803,1803,1803,BKCABM_10120,
group_712,,Pseudouridine synthase,1,1,1,3,125,,,,939,939,939,BKCABM_09635,
group_711,,Cation efflux protein cytoplasmic domain-containing protein,1,1,1,3,124,,,,939,939,939,BKCABM_09615,
lpxL,lpxL,Lipid A biosynthesis acyltransferase,1,1,1,3,123,,,,939,939,939,BKCABM_09455,
group_710,,DUF2382 domain-containing protein,1,1,1,3,122,,,,540,540,540,BKCABM_10260,
uvrC,uvrC,excinuclease ABC subunit UvrC,1,1,1,3,121,,,,1806,1806,1806,,GAHHJF_10575
group_709,,monovalent cation/H+ antiporter subunit D,1,1,1,3,120,,,,1809,1809,1809,,GAHHJF_10415
group_708,,monovalent cation/H+ antiporter subunit D,1,1,1,3,119,,,,1809,1809,1809,BKCABM_09970,
group_707,,J domain-containing protein,1,1,1,3,118,,,,942,942,942,,GAHHJF_10280
group_706,,DUF697 domain-containing protein,1,1,1,3,117,,,,543,543,543,BKCABM_09900,
group_705,ubiE,bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-14-benzoquinol methylase UbiE,1,1,1,3,116,,,,945,945,945,,GAHHJF_10375
ubiE,ubiE,bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-14-benzoquinol methylase UbiE,1,1,1,3,115,,,,945,945,945,BKCABM_09915,
group_704,,RCK N-terminal domain-containing protein,1,1,1,3,114,,,,1842,1842,1842,,GAHHJF_10270
group_703,,long-chain-acyl-CoA synthetase,1,1,1,3,113,,,,1842,1842,1842,,GAHHJF_10140
group_702,,RCK N-terminal domain-containing protein,1,1,1,3,112,,,,1842,1842,1842,BKCABM_09835,
group_701,,long-chain-acyl-CoA synthetase,1,1,1,3,111,,,,1842,1842,1842,BKCABM_09645,
group_700,,J domain-containing protein,1,1,1,3,110,,,,954,954,954,BKCABM_09850,
group_699,,2-hydroxyacid dehydrogenase,1,1,1,3,109,,,,957,957,957,BKCABM_09710,
algH,algH,YqgE/AlgH family protein,1,1,1,3,108,,,,555,555,555,,GAHHJF_10525
group_698,,ATP-binding protein Uup,1,1,1,3,107,,,,1896,1896,1896,BKCABM_09445,
uup,uup,ATPase components of ABC transporters with duplicated ATPase domains,1,1,1,3,106,,,,1902,1902,1902,,GAHHJF_09985
group_697,,YqgE/AlgH family protein,1,1,1,3,105,,,,555,555,555,BKCABM_10085,
group_696,htpG,molecular chaperone HtpG,1,1,1,3,103,,,,1920,1920,1920,BKCABM_10225,
htpG,htpG,molecular chaperone HtpG,1,1,1,3,102,,,,1926,1926,1926,,GAHHJF_10630
group_695,,Serine hydrolase family protein,1,1,1,3,101,,,,558,558,558,,GAHHJF_10600
ftsK,ftsK,DNA translocase FtsK 4TM region domain-containing protein,1,1,1,3,97,,,,561,561,561,BKCABM_10265,
group_691,,hypothetical protein,1,1,1,3,96,,,,561,561,561,BKCABM_09730,
group_690,,L-asparaginase N-terminal domain-containing protein,1,1,1,3,95,,,,969,969,969,BKCABM_09480,
group_689,,Lipoprotein,1,1,1,3,94,,,,561,561,561,BKCABM_09520,
ahpC,ahpC,alkyl hydroperoxide reductase subunit C,1,1,1,3,91,,,,564,564,564,,GAHHJF_10155
group_687,,hypothetical protein,1,1,1,3,89,,,,564,564,564,BKCABM_09705,
group_686,,hypothetical protein,1,1,1,3,88,,,,2016,2016,2016,BKCABM_10215,
group_685,,L-asparaginase N-terminal domain-containing protein,1,1,1,3,86,,,,981,981,981,,GAHHJF_10020
hdeD,hdeD,HdeD protein,1,1,1,3,82,,,,570,570,570,BKCABM_09410,
group_681,,Lipoprotein,1,1,1,3,77,,,,573,573,573,,GAHHJF_10050
glyS,glyS,Glycine--tRNA ligase beta subunit,1,1,1,3,76,,,,2070,2070,2070,BKCABM_09685,
group_680,,Fusaric acid resistance protein conserved region,1,1,1,3,75,,,,2082,2082,2082,BKCABM_10105,
glyQ,glyQ,glycine--tRNA ligase subunit alpha,1,1,1,3,74,,,,990,990,990,BKCABM_09680,
group_679,,PIN-like domain-containing protein,1,1,1,3,73,,,,990,990,990,BKCABM_09435,
group_678,,Fusaric acid resistance protein conserved region,1,1,1,3,71,,,,2091,2091,2091,,GAHHJF_10545
group_677,pnp,polyribonucleotide nucleotidyltransferase,1,1,1,3,70,,,,2094,2094,2094,,GAHHJF_10300
pnp,pnp,polyribonucleotide nucleotidyltransferase,1,1,1,3,69,,,,2094,2094,2094,BKCABM_09870,
group_673,,NlpC/P60 domain-containing protein,1,1,1,3,65,,,,579,579,579,,GAHHJF_10580
group_672,,PIN-like domain-containing protein,1,1,1,3,64,,,,999,999,999,,GAHHJF_09975
group_671,fadB,fatty acid oxidation complex subunit alpha FadB,1,1,1,3,60,,,,2154,2154,2154,,GAHHJF_10590
fadB,fadB,fatty acid oxidation complex subunit alpha FadB,1,1,1,3,59,,,,2154,2154,2154,BKCABM_10155,
group_670,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,1,1,1,3,58,,,,588,588,588,,GAHHJF_10565
group_669,katG,catalase/peroxidase HPI,1,1,1,3,57,,,,2181,2181,2181,,GAHHJF_10095
pgsA,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,1,1,1,3,56,,,,588,588,588,BKCABM_10125,
katG,katG,catalase/peroxidase HPI,1,1,1,3,55,,,,2193,2193,2193,BKCABM_09605,
ovoA,ovoA,SAM-dependent methyltransferase,1,1,1,3,54,,,,2196,2196,2196,,GAHHJF_10075
group_668,,Membrane fusion protein biotin-lipoyl like domain-containing protein,1,1,1,3,53,,,,1008,1008,1008,BKCABM_10095,
group_667,priA,primosomal protein N',1,1,1,3,52,,,,2223,2223,2223,BKCABM_09830,
priA,priA,primosomal protein N',1,1,1,3,51,,,,2232,2232,2232,,GAHHJF_10265
group_666,,Membrane fusion protein biotin-lipoyl like domain-containing protein,1,1,1,3,50,,,,1014,1014,1014,,GAHHJF_10535
group_665,ptsP,phosphoenolpyruvate--protein phosphotransferase,1,1,1,3,49,,,,2295,2295,2295,,GAHHJF_10090
ptsP,ptsP,phosphoenolpyruvate--protein phosphotransferase,1,1,1,3,48,,,,2298,2298,2298,BKCABM_09565,
group_664,coaE,dephospho-CoA kinase,1,1,1,3,47,,,,600,600,600,,GAHHJF_10495
coaE,coaE,dephospho-CoA kinase,1,1,1,3,46,,,,600,600,600,BKCABM_10060,
group_663,,ASCH domain-containing protein,1,1,1,3,45,,,,132,132,132,,GAHHJF_09950
group_662,,tRNA (guanine(46)-N(7))-methyltransferase,1,1,1,3,44,,,,603,603,603,,GAHHJF_10220
group_661,,hypothetical protein,1,1,1,3,43,,,,135,135,135,BKCABM_09505,
group_660,,Outer membrane protein W,1,1,1,3,42,,,,603,603,603,BKCABM_10235,
group_659,,GST N-terminal domain-containing protein,1,1,1,3,41,,,,606,606,606,,GAHHJF_10115
hemH,hemH,ferrochelatase,1,1,1,3,39,,,,1023,1023,1023,BKCABM_09765,
group_658,,hypothetical protein,1,1,1,3,38,,,,162,162,162,BKCABM_10205,
group_657,,Fe2OG dioxygenase domain-containing protein,1,1,1,3,37,,,,609,609,609,,GAHHJF_10555
papC,papC,PapC N-terminal domain-containing protein,1,1,1,3,36,,,,2589,2589,2589,,GAHHJF_10360
group_656,,DUF4062 domain-containing protein,1,1,1,3,35,,,,1026,1026,1026,BKCABM_09770,
group_655,,CBS domain-containing protein,1,1,1,3,34,,,,1026,1026,1026,BKCABM_09675,
group_654,yacG,DNA gyrase inhibitor YacG,1,1,1,3,33,,,,174,174,174,BKCABM_09750,
group_653,,hypothetical protein,1,1,1,3,32,,,,177,177,177,BKCABM_09935,
group_652,,DUF1285 domain-containing protein,1,1,1,3,31,,,,612,612,612,BKCABM_09780,
group_651,topA,type I DNA topoisomerase,1,1,1,3,30,,,,2643,2643,2643,BKCABM_09425,
topA,topA,type I DNA topoisomerase,1,1,1,3,29,,,,2646,2646,2646,,GAHHJF_09965
group_650,,Phosphatidate cytidylyltransferase,1,1,1,3,28,,,,180,180,180,BKCABM_09755,
group_649,,DUF2274 domain-containing protein,1,1,1,3,27,,,,186,186,186,BKCABM_10210,
group_648,infB,translation initiation factor IF-2,1,1,1,3,26,,,,2700,2700,2700,BKCABM_09995,
infB,infB,translation initiation factor IF-2,1,1,1,3,25,,,,2706,2706,2706,,GAHHJF_10440
group_647,lysE,Lysine transporter LysE,1,1,1,3,24,,,,615,615,615,BKCABM_09575,
